index,k__Bacteria;__;__;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__OD1;c__;o__;f__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,k__Bacteria;p__TM7;c__TM7-3;o__I025;f__Rs-045,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae],k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae],k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae],k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae],k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__,k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales];f__[Cerasicoccaceae],k__Bacteria;p__OD1;__;__;__,Unassigned;__;__;__;__,k__Bacteria;p__;c__;o__;f__,Status
SRR35933523,10267.0,1895.0,18869.0,0.0,0.0,0.0,1770.0,0.0,14.0,55.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,72.0,18251.0,0.0,0.0,14.0,13.0,0.0,15.0,0.0,0.0,0.0,155.0,25.0,0.0,0.0,0.0,5629.0,0.0,88.0,0.0,0.0,0.0,1055.0,0.0,0.0,0.0,0.0,65.0,0.0,120.0,Healthy_Control
SRR35933524,6642.0,6932.0,10659.0,354.0,0.0,0.0,2676.0,15.0,0.0,1394.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.0,0.0,0.0,0.0,0.0,389.0,0.0,49.0,0.0,0.0,0.0,5309.0,0.0,0.0,0.0,0.0,12615.0,0.0,552.0,Breast_Cancer
SRR35933525,14734.0,9675.0,14619.0,85.0,0.0,0.0,5888.0,43.0,0.0,966.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2682.0,2062.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,196.0,713.0,0.0,11.0,0.0,0.0,5022.0,0.0,71.0,0.0,0.0,0.0,1279.0,0.0,0.0,0.0,0.0,310.0,0.0,1391.0,Healthy_Control
SRR35933526,5615.0,965.0,9153.0,570.0,0.0,0.0,2057.0,0.0,72.0,0.0,0.0,0.0,462.0,0.0,0.0,202.0,0.0,20.0,0.0,0.0,16.0,0.0,1751.0,0.0,5558.0,0.0,0.0,15.0,153.0,158.0,0.0,7.0,0.0,0.0,4.0,85.0,159.0,7.0,0.0,0.0,1703.0,0.0,156.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,55.0,0.0,44.0,Breast_Cancer
SRR35933527,7985.0,4007.0,16346.0,5302.0,0.0,0.0,1719.0,112.0,665.0,0.0,0.0,0.0,0.0,23.0,0.0,577.0,0.0,0.0,5980.0,95.0,407.0,0.0,0.0,231.0,1831.0,259.0,0.0,45.0,0.0,88.0,0.0,133.0,0.0,33.0,48.0,7.0,56.0,0.0,0.0,0.0,101.0,0.0,65.0,0.0,0.0,0.0,28.0,0.0,0.0,50.0,41.0,130.0,0.0,800.0,Healthy_Control
SRR35933528,6834.0,3007.0,8282.0,14.0,1094.0,480.0,732.0,94.0,133.0,0.0,0.0,0.0,4.0,0.0,0.0,871.0,3.0,0.0,408.0,73.0,32.0,0.0,0.0,25.0,10.0,5134.0,0.0,0.0,0.0,7.0,19.0,0.0,7.0,16.0,0.0,0.0,11.0,26.0,0.0,15.0,842.0,0.0,310.0,3.0,0.0,7.0,57.0,0.0,0.0,1.0,18.0,13.0,23.0,0.0,Breast_Cancer
SRR35933529,10111.0,5937.0,16681.0,393.0,0.0,0.0,2755.0,83.0,205.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,56.0,0.0,0.0,0.0,3081.0,4080.0,0.0,0.0,1127.0,71.0,0.0,0.0,0.0,7.0,32.0,1250.0,67.0,0.0,0.0,0.0,4101.0,0.0,430.0,5.0,0.0,0.0,222.0,0.0,0.0,60.0,0.0,268.0,0.0,136.0,Healthy_Control
SRR35933530,10723.0,4255.0,11785.0,406.0,0.0,0.0,2698.0,30.0,31.0,0.0,0.0,0.0,11.0,27.0,0.0,360.0,0.0,5862.0,101.0,174.0,77.0,0.0,565.0,53.0,355.0,6272.0,252.0,16.0,72.0,18.0,0.0,0.0,0.0,0.0,81.0,19.0,86.0,2.0,0.0,0.0,901.0,0.0,85.0,0.0,0.0,0.0,308.0,4.0,0.0,3.0,0.0,263.0,0.0,0.0,Breast_Cancer
SRR35933531,11527.0,11652.0,19011.0,1019.0,0.0,0.0,6731.0,0.0,0.0,0.0,2.0,0.0,416.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,7528.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1148.0,0.0,279.0,0.0,0.0,938.0,0.0,136.0,0.0,0.0,0.0,1383.0,0.0,0.0,0.0,0.0,45.0,0.0,610.0,Healthy_Control
SRR35933532,21114.0,5857.0,19194.0,16446.0,0.0,0.0,763.0,80.0,0.0,61.0,0.0,0.0,20.0,0.0,0.0,124.0,0.0,302.0,0.0,60.0,44.0,146.0,0.0,474.0,3.0,12028.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,42.0,8.0,0.0,0.0,2270.0,0.0,57.0,0.0,0.0,416.0,139.0,0.0,30.0,29.0,0.0,157.0,0.0,115.0,Breast_Cancer
SRR35933533,9249.0,4756.0,21316.0,4069.0,0.0,0.0,3079.0,68.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,19.0,0.0,167.0,92.0,166.0,0.0,0.0,0.0,74.0,16526.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,37.0,227.0,16.0,9.0,0.0,0.0,772.0,17.0,156.0,0.0,0.0,0.0,291.0,0.0,0.0,70.0,15.0,383.0,0.0,39.0,Healthy_Control
SRR35933534,2656.0,5098.0,9028.0,1329.0,0.0,0.0,536.0,196.0,97.0,0.0,0.0,0.0,57.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,4057.0,0.0,0.0,10.0,5.0,11.0,0.0,0.0,11.0,0.0,0.0,12.0,3.0,0.0,0.0,1605.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,192.0,0.0,0.0,Breast_Cancer
SRR35933535,4966.0,7888.0,25561.0,1632.0,0.0,0.0,2833.0,109.0,110.0,52.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,3271.0,217.0,13803.0,0.0,0.0,40.0,57.0,0.0,0.0,0.0,0.0,21.0,61.0,52.0,8.0,0.0,0.0,131.0,0.0,35.0,11.0,0.0,0.0,494.0,0.0,0.0,0.0,0.0,198.0,0.0,169.0,Healthy_Control
SRR35933536,7079.0,1835.0,5921.0,7016.0,0.0,0.0,1165.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4365.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,19.0,3.0,0.0,7.0,0.0,0.0,232.0,0.0,5.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Breast_Cancer
